00000b69 000002fa 000009ff 00000cd3
00000b0e 000006c8 00000b56 00000ac6
00000112 000007a2 00000c3c 000002e9
0000050b 00000918 0000054b 000004cb
000002a0 00000b40 0000021d 00000323
000002c5 00000bbb 00000be1 000006aa
000009c5 00000486 00000976 00000a14
000001ea 0000022b 00000a61 00000674
00000bd0 000004cb 000007c9 000002d6
00000304 00000527 00000396 00000272
00000be2 00000a84 00000668 0000045b
00000471 000004b4 000009a5 00000c3e
00000af6 000007d6 000008b2 00000039
000001a5 0000027a 00000337 00000013
000004a4 00000490 000006f3 00000255
00000acb 00000801 00000a32 00000b64
000003e0 00000cde 00000861 00000c60
000000f6 00000337 000008a2 0000064b
0000061b 0000052d 00000971 000002c5
0000001a 00000ba2 00000861 000004d4
000004d4 00000072 00000a0e 00000c9b
00000bae 000001b1 0000078a 000002d1
00000b07 00000227 00000370 0000059d
00000206 00000bac 00000739 000009d4
0000024d 0000049b 00000328 00000172
00000664 00000075 00000885 00000443
00000aba 00000052 00000cbc 000008b8
0000099a 0000037c 000003d6 0000025d
000008e7 0000010b 00000a5b 00000773
000006a4 0000056e 00000cd2 00000076
000000ab 000005dd 0000057a 000008dd
000004ed 00000b81 000003d3 00000607
00000799 000007dc 00000346 00000bec
0000073f 0000078b 00000738 00000746
00000bb2 00000541 00000284 000007df
0000022b 00000638 00000c04 00000553
0000077f 00000cb7 00000c98 00000266
00000ab8 0000049f 00000785 000000ea
00000769 0000005e 00000b3f 00000393
0000003b 000002e4 00000aaf 000002c8
000008a3 00000816 00000aeb 0000065b
000005da 0000099d 00000c9a 00000c1b
00000a30 000009b2 00000530 0000022f
00000972 000000b7 00000617 00000ccd
00000aa9 000009d4 000001c7 0000068a
000003c8 000007ee 00000562 0000022e
0000088a 0000085c 00000299 0000017a
0000092e 00000cc0 00000418 00000143
00000762 0000065b 00000c4a 0000027a
000002e6 0000019d 00000343 00000289
000005c1 000005ec 00000c46 00000c3d
00000259 000005b9 00000136 0000037c
00000b1b 00000afc 000006e4 00000251
00000a9f 000004e1 00000b1f 00000a1f
000001dc 0000054a 000000d8 000002e0
000007c8 00000110 00000b24 0000046c
0000019a 00000097 00000273 000000c1
00000c2d 00000cdb 000000d4 00000a85
00000b45 00000095 000001ff 0000078a
000002bd 000007f2 000001c1 000003b9
000003d9 000004f0 0000088e 00000c25
00000bd9 00000701 00000c74 00000b3e
00000bd8 00000157 00000456 00000659
000006cb 000003dc 000007c5 000005d1
000004d4 000008d0 00000c8c 00000a1d
00000cfe 000002c0 000007bf 0000053c
00000ab5 000001ad 0000021c 0000064d
